alert_type,ticker,price,timestamp,date,time,channel
exit,MAR,288.09,2025-11-07T16:36:00.322000+00:00,2025-11-07,16:36:00,pro-account-alerts
exit,QURE,26.38,2025-11-07T16:40:20.431000+00:00,2025-11-07,16:40:20,asumasnam-alerts
exit,UNH,315.49,2025-11-07T16:50:00.951000+00:00,2025-11-07,16:50:00,pro-account-alerts
exit,LOW,233.34,2025-11-07T16:55:02.253000+00:00,2025-11-07,16:55:02,pro-account-alerts
exit,HD,372.92,2025-11-07T16:55:02.738000+00:00,2025-11-07,16:55:02,pro-account-alerts
exit,PSX,137.585,2025-11-07T16:55:04.186000+00:00,2025-11-07,16:55:04,asumasnam-alerts
exit,GOOGL,275.83,2025-11-07T17:00:09.880000+00:00,2025-11-07,17:00:09,pro-account-alerts
exit,QURE,26.49,2025-11-07T17:00:25.581000+00:00,2025-11-07,17:00:25,asumasnam-alerts
exit,BRK,497.89,2025-11-07T17:05:03.257000+00:00,2025-11-07,17:05:03,pro-account-alerts
exit,IBM,302.91,2025-11-07T17:10:05.499000+00:00,2025-11-07,17:10:05,pro-account-alerts
exit,HUM,249.56,2025-11-07T17:15:13.091000+00:00,2025-11-07,17:15:13,pro-account-alerts
exit,QURE,26.33,2025-11-07T17:15:29.995000+00:00,2025-11-07,17:15:29,asumasnam-alerts
exit,MAR,287.565,2025-11-07T17:30:14.912000+00:00,2025-11-07,17:30:14,pro-account-alerts
exit,QURE,26.76,2025-11-07T17:45:17.201000+00:00,2025-11-07,17:45:17,asumasnam-alerts
exit,ULTA,509.91,2025-11-07T17:46:00.226000+00:00,2025-11-07,17:46:00,asumasnam-alerts
exit,MSFT,493.9,2025-11-07T17:50:06.462000+00:00,2025-11-07,17:50:06,pro-account-alerts
exit,BRK,497.42,2025-11-07T18:05:02.470000+00:00,2025-11-07,18:05:02,pro-account-alerts
call,APP,604.55,2025-11-07T18:15:03.527000+00:00,2025-11-07,18:15:03,pro-account-alerts
exit,MAR,286.48,2025-11-07T18:15:47.152000+00:00,2025-11-07,18:15:47,pro-account-alerts
call,APP,607.75,2025-11-07T18:20:01.769000+00:00,2025-11-07,18:20:01,pro-account-alerts
call,QURE,27.61,2025-11-07T18:20:23.621000+00:00,2025-11-07,18:20:23,asumasnam-alerts
call,COIN,303.72,2025-11-07T18:25:02.724000+00:00,2025-11-07,18:25:02,pro-account-alerts
call,IONQ,54.73,2025-11-07T18:25:04.010000+00:00,2025-11-07,18:25:04,pro-account-alerts
call,APP,612.19,2025-11-07T18:25:07.877000+00:00,2025-11-07,18:25:07,pro-account-alerts
call,APP,613.57,2025-11-07T18:30:02.353000+00:00,2025-11-07,18:30:02,pro-account-alerts
call,NVDA,184.45,2025-11-07T18:30:04.408000+00:00,2025-11-07,18:30:04,asumasnam-alerts
call,CVNA,299.66,2025-11-07T18:30:12.511000+00:00,2025-11-07,18:30:12,asumasnam-alerts
call,GE,306.12,2025-11-07T18:35:02.312000+00:00,2025-11-07,18:35:02,asumasnam-alerts
call,CVNA,300.68,2025-11-07T18:35:13.156000+00:00,2025-11-07,18:35:13,asumasnam-alerts
call,CVNA,302.0,2025-11-07T18:40:05.247000+00:00,2025-11-07,18:40:05,asumasnam-alerts
call,COIN,304.8,2025-11-07T18:40:05.343000+00:00,2025-11-07,18:40:05,pro-account-alerts
call,MAR,288.14,2025-11-07T18:40:31.635000+00:00,2025-11-07,18:40:31,pro-account-alerts
exit,AVGO,341.97,2025-11-07T18:45:01.280000+00:00,2025-11-07,18:45:01,pro-account-alerts
exit,IONQ,54.19,2025-11-07T18:45:07.145000+00:00,2025-11-07,18:45:07,pro-account-alerts
exit,RUT,2403.7146,2025-11-07T18:50:01.321000+00:00,2025-11-07,18:50:01,expert-spx-alerts
exit,GOOGL,276.72,2025-11-07T18:50:01.363000+00:00,2025-11-07,18:50:01,pro-account-alerts
exit,ORCL,234.79,2025-11-07T18:50:03.972000+00:00,2025-11-07,18:50:03,asumasnam-alerts
exit,BA,193.44,2025-11-07T18:50:04.171000+00:00,2025-11-07,18:50:04,asumasnam-alerts
exit,IBM,305.42,2025-11-07T19:05:01.875000+00:00,2025-11-07,19:05:01,pro-account-alerts
exit,COIN,303.69,2025-11-07T19:05:02.932000+00:00,2025-11-07,19:05:02,pro-account-alerts
call,RUT,2409.3948,2025-11-07T19:10:00.550000+00:00,2025-11-07,19:10:00,expert-spx-alerts
exit,NDX,24773.8888,2025-11-07T19:10:04.348000+00:00,2025-11-07,19:10:04,expert-spx-alerts
call,RUT,2410.8262,2025-11-07T19:15:00.952000+00:00,2025-11-07,19:15:00,expert-spx-alerts
call,SPX,6682.51,2025-11-07T19:15:01.502000+00:00,2025-11-07,19:15:01,expert-spx-alerts
call,CRWD,537.18,2025-11-07T19:15:06.246000+00:00,2025-11-07,19:15:06,pro-account-alerts
call,ULTA,514.56,2025-11-07T19:15:22.891000+00:00,2025-11-07,19:15:22,asumasnam-alerts
call,RUT,2413.255,2025-11-07T19:25:00.715000+00:00,2025-11-07,19:25:00,expert-spx-alerts
call,SPX,6685.91,2025-11-07T19:25:01.175000+00:00,2025-11-07,19:25:01,expert-spx-alerts
call,MAR,289.31,2025-11-07T19:25:02.344000+00:00,2025-11-07,19:25:02,pro-account-alerts
